id,城市,省份,年月,经度,纬度,舒适天数,空气质量指数,月最高温,月最低温,月平均温,东风频率,东风均速,南风频率,南风均速,西风频率,西风均速,北风频率,北风均速,东北风频率,东北风均速,东南风频率,东南风均速,西南风频率,西南风均速,西北风频率,西北风均速
0,七台河市,黑龙江,2023-12,130.83,45.82,0,44.00,3.00,-31.00,-17.60,9.68,1.67,32.26,1.50,83.87,2.19,54.84,2.59,3.23,1.00,6.45,2.00,19.35,1.50,51.61,2.69
1,七台河市,黑龙江,2024-01,130.83,45.82,0,94.68,-4.00,-29.00,-17.35,19.35,1.50,19.35,1.83,70.97,2.41,70.97,2.32,9.68,1.33,9.68,1.67,3.23,2.00,58.06,2.56
2,七台河市,黑龙江,2024-02,130.83,45.82,0,73.34,9.00,-26.00,-11.90,6.90,2.00,24.14,2.29,86.21,2.40,72.41,2.43,0.00,0.00,6.90,2.00,10.34,2.33,72.41,2.43
3,七台河市,黑龙江,2024-03,130.83,45.82,0,47.81,10.00,-17.00,-4.66,12.90,2.25,16.13,2.60,74.19,2.57,70.97,2.45,3.23,1.00,6.45,3.00,6.45,2.00,61.29,2.63
4,七台河市,黑龙江,2024-04,130.83,45.82,0,63.23,29.00,-5.00,9.05,20.00,2.50,53.33,2.94,70.00,3.10,43.33,3.23,3.33,2.00,16.67,2.60,26.67,3.00,40.00,3.33
5,七台河市,黑龙江,2024-05,130.83,45.82,0,38.16,26.00,2.00,13.06,29.03,2.78,25.81,2.62,58.06,2.89,58.06,2.83,12.90,2.75,16.13,2.80,6.45,2.00,35.48,3.00
6,七台河市,黑龙江,2024-06,130.83,45.82,2,26.63,30.00,9.00,17.20,30.00,2.22,30.00,2.11,60.00,2.11,60.00,2.11,16.67,2.00,10.00,2.67,16.67,2.00,36.67,2.18
7,七台河市,黑龙江,2024-07,130.83,45.82,21,38.26,32.00,13.00,23.19,45.16,2.14,38.71,2.42,48.39,2.27,58.06,2.06,16.13,2.00,25.81,2.25,9.68,3.00,38.71,2.08
8,七台河市,黑龙江,2024-08,130.83,45.82,22,24.03,30.00,15.00,22.77,32.26,1.90,38.71,2.25,58.06,2.17,41.94,2.08,9.68,1.67,12.90,2.25,19.35,2.17,29.03,2.33
9,七台河市,黑龙江,2024-09,130.83,45.82,0,26.73,27.00,1.00,14.97,6.67,2.50,36.67,2.18,80.00,2.58,46.67,2.57,0.00,0.00,6.67,2.50,16.67,2.20,46.67,2.57
10,七台河市,黑龙江,2024-10,130.83,45.82,0,40.61,22.00,-4.00,6.94,16.13,2.40,48.39,2.60,77.42,2.75,45.16,2.93,0.00,0.00,12.90,2.50,29.03,2.56,45.16,2.93
11,七台河市,黑龙江,2024-11,130.83,45.82,0,59.97,14.00,-17.00,-3.83,23.33,2.29,43.33,2.23,76.67,2.74,46.67,3.21,3.33,1.00,20.00,2.50,23.33,2.00,43.33,3.38
12,三亚市,海南省,2023-12,109.51,18.25,25,31.00,33.00,15.00,24.02,100.00,2.19,16.13,1.60,0.00,0.00,58.06,2.44,58.06,2.44,16.13,1.60,0.00,0.00,0.00,0.00
13,三亚市,海南省,2024-01,109.51,18.25,28,29.58,30.00,16.00,23.21,100.00,2.87,12.90,2.25,0.00,0.00,32.26,3.00,32.26,3.00,12.90,2.25,0.00,0.00,0.00,0.00
14,三亚市,海南省,2024-02,109.51,18.25,28,25.97,31.00,17.00,24.59,100.00,2.52,65.52,2.37,0.00,0.00,3.45,2.00,3.45,2.00,65.52,2.37,0.00,0.00,0.00,0.00
15,三亚市,海南省,2024-03,109.51,18.25,31,31.26,33.00,19.00,26.48,96.77,2.70,67.74,2.52,0.00,0.00,6.45,2.50,6.45,2.50,64.52,2.55,0.00,0.00,0.00,0.00
16,三亚市,海南省,2024-04,109.51,18.25,22,25.50,34.00,22.00,28.10,100.00,2.83,96.67,2.83,0.00,0.00,0.00,0.00,0.00,0.00,96.67,2.83,0.00,0.00,0.00,0.00
17,三亚市,海南省,2024-05,109.51,18.25,20,22.48,35.00,24.00,28.97,64.52,2.30,83.87,2.12,25.81,2.00,0.00,0.00,0.00,0.00,51.61,2.25,22.58,2.00,0.00,0.00
18,三亚市,海南省,2024-06,109.51,18.25,6,22.10,36.00,25.00,30.02,43.33,2.23,90.00,2.04,43.33,1.92,0.00,0.00,0.00,0.00,36.67,2.18,40.00,1.92,0.00,0.00
19,三亚市,海南省,2024-07,109.51,18.25,9,18.06,34.00,25.00,29.05,48.39,2.33,67.74,2.38,45.16,2.79,16.13,2.20,9.68,2.67,32.26,2.10,29.03,2.78,6.45,1.50
20,三亚市,海南省,2024-08,109.51,18.25,9,20.58,35.00,25.00,29.69,9.68,2.00,96.77,1.97,80.65,1.96,0.00,0.00,0.00,0.00,9.68,2.00,77.42,1.96,0.00,0.00
21,三亚市,海南省,2024-09,109.51,18.25,25,19.33,35.00,23.00,28.47,40.00,1.92,60.00,1.72,43.33,2.23,20.00,2.17,13.33,2.25,23.33,1.57,20.00,2.17,6.67,2.00
22,三亚市,海南省,2024-10,109.51,18.25,30,28.45,34.00,20.00,27.40,77.42,2.08,32.26,1.10,16.13,1.60,35.48,2.64,32.26,2.60,16.13,1.00,12.90,1.25,3.23,3.00
23,三亚市,海南省,2024-11,109.51,18.25,30,29.43,33.00,18.00,25.52,80.00,2.33,30.00,1.11,20.00,1.17,63.33,2.63,63.33,2.63,10.00,1.00,20.00,1.17,0.00,0.00
24,三明市,福建省,2023-12,117.61,26.23,0,63.00,30.00,0.00,12.79,54.84,1.29,16.13,1.20,29.03,1.22,74.19,1.35,45.16,1.36,6.45,1.00,9.68,1.33,16.13,1.20
25,三明市,福建省,2024-01,117.61,26.23,0,46.87,27.00,-1.00,11.61,51.61,1.06,3.23,1.00,19.35,1.17,96.77,1.13,51.61,1.06,0.00,0.00,3.23,1.00,16.13,1.20
26,三明市,福建省,2024-02,117.61,26.23,1,32.38,32.00,4.00,14.14,20.69,1.00,27.59,1.38,58.62,1.29,65.52,1.05,17.24,1.00,0.00,0.00,24.14,1.43,31.03,1.11
27,三明市,福建省,2024-03,117.61,26.23,5,40.52,34.00,5.00,16.92,35.48,1.18,32.26,1.80,54.84,1.53,58.06,1.22,25.81,1.25,3.23,1.00,29.03,1.89,22.58,1.14
28,三明市,福建省,2024-04,117.61,26.23,28,34.53,34.00,15.00,23.20,30.00,1.11,56.67,1.47,53.33,1.31,33.33,1.00,23.33,1.00,6.67,1.50,36.67,1.45,6.67,1.00
29,三明市,福建省,2024-05,117.61,26.23,27,33.45,34.00,16.00,24.23,64.52,1.20,45.16,1.07,25.81,1.12,51.61,1.25,41.94,1.31,19.35,1.00,19.35,1.17,6.45,1.00
30,三明市,福建省,2024-06,117.61,26.23,24,24.50,37.00,17.00,27.07,26.67,1.00,76.67,1.43,60.00,1.44,23.33,1.00,20.00,1.00,6.67,1.00,56.67,1.47,3.33,1.00
31,三明市,福建省,2024-07,117.61,26.23,17,23.13,40.00,24.00,30.98,29.03,1.44,77.42,1.67,67.74,1.71,19.35,1.50,16.13,1.40,9.68,1.67,64.52,1.70,3.23,2.00
32,三明市,福建省,2024-08,117.61,26.23,17,27.61,38.00,25.00,29.97,32.26,1.00,41.94,1.08,54.84,1.06,35.48,1.00,22.58,1.00,6.45,1.00,32.26,1.10,12.90,1.00
33,三明市,福建省,2024-09,117.61,26.23,22,24.00,37.00,20.00,28.63,80.00,1.46,3.33,1.00,16.67,1.00,90.00,1.41,70.00,1.48,3.33,1.00,0.00,0.00,16.67,1.00
34,三明市,福建省,2024-10,117.61,26.23,26,25.45,33.00,14.00,23.10,67.74,1.48,0.00,0.00,16.13,1.00,100.00,1.35,67.74,1.48,0.00,0.00,0.00,0.00,16.13,1.00
35,三明市,福建省,2024-11,117.61,26.23,12,28.60,29.00,6.00,18.65,66.67,1.60,3.33,2.00,10.00,2.00,90.00,1.59,63.33,1.63,0.00,0.00,3.33,2.00,6.67,2.00
